Instrument,Contract,CarryContract,Start,End,PriceRows,CarryRows,Reason,UpdateMode,Calendar
DCE_B,native_chain,native_chain,2004-12-22 23:00:00,2006-09-07 23:00:00,417,389,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/DCE_B_2004-12-22.csv
DCE_B,native_chain,native_chain,2006-09-08 23:00:00,2017-12-18 23:00:00,2743,2743,原存储片段；资格表保持空白,closed,
DCE_B,native_chain,native_chain,2017-12-19 23:00:00,2026-09-07 23:00:00,2116,2116,真实重叠和同合约滞后20日成交量审理,live,episode_calendars/DCE_B_2017-12-19.csv
DCE_BB,native_chain,native_chain,2014-09-09 23:00:00,2015-09-07 23:00:00,243,243,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/DCE_BB_2014-09-09.csv
DCE_BB,native_chain,native_chain,2015-09-08 23:00:00,2024-09-13 23:00:00,2190,1484,原存储死亡尾段；资格表保持空白,closed,
DCE_FB_OLD,native_chain,native_chain,2013-12-06 23:00:00,2014-03-14 23:00:00,65,65,原存储片段；资格表保持空白,closed,
DCE_FB_OLD,native_chain,native_chain,2014-03-17 23:00:00,2015-05-12 23:00:00,283,283,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/DCE_FB_OLD_2014-03-17.csv
DCE_FB_OLD,native_chain,native_chain,2015-05-13 23:00:00,2018-11-21 23:00:00,863,863,原存储片段；资格表保持空白,closed,
DCE_FB_OLD,native_chain,native_chain,2018-11-22 23:00:00,2019-10-11 23:00:00,214,214,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/DCE_FB_OLD_2018-11-22.csv
DCE_FB_OLD,native_chain,native_chain,2019-10-14 23:00:00,2019-11-29 23:00:00,35,35,原存储死亡尾段；资格表保持空白,closed,
SHFE_WR,native_chain,native_chain,2009-09-14 23:00:00,2010-10-12 23:00:00,257,257,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/SHFE_WR_2009-09-14.csv
SHFE_WR,native_chain,native_chain,2010-10-13 23:00:00,2018-08-31 23:00:00,1924,1924,原存储死亡尾段；资格表保持空白,closed,
DCE_FB,native_chain,native_chain,2019-12-02 23:00:00,2024-12-31 23:00:00,1234,1231,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/DCE_FB_2019-12-02.csv
DCE_FB,native_chain,native_chain,2025-01-02 23:00:00,2025-01-13 23:00:00,8,8,原存储片段；资格表保持空白,closed,
DCE_FB,native_chain,native_chain,2025-01-14 23:00:00,2025-06-03 23:00:00,90,90,真实重叠和同合约滞后20日成交量审理,closed,episode_calendars/DCE_FB_2025-01-14.csv
DCE_FB,native_chain,native_chain,2025-06-04 23:00:00,2025-06-05 23:00:00,2,2,原存储片段；资格表保持空白,closed,
DCE_FB,native_chain,native_chain,2025-06-06 23:00:00,2026-09-07 23:00:00,308,308,真实重叠和同合约滞后20日成交量审理,manual,episode_calendars/DCE_FB_2025-06-06.csv
