Instrument,Description,broad,fine,economic_id
CZCE_WS,郑商所强筋小麦（旧合约）,农产品,谷物淀粉,CZCE_WH
CZCE_WT,郑商所硬白小麦（旧合约）,农产品,谷物淀粉,CZCE_PM
CZCE_ZC,郑商所动力煤,黑色,黑色,CZCE_ZC
DCE_A,大商所黄大豆一号,农产品,油脂油料,DCE_A
DCE_B,大商所黄大豆二号,农产品,油脂油料,DCE_B
DCE_BB,大商所胶合板,林木造纸,林木造纸,DCE_BB
DCE_BZ,大商所纯苯,化工,化工,DCE_BZ
DCE_C,大商所玉米,农产品,谷物淀粉,DCE_C
DCE_CS,大商所玉米淀粉,农产品,谷物淀粉,DCE_CS
DCE_EB,大商所苯乙烯,化工,化工,DCE_EB
DCE_EG,大商所乙二醇,化工,化工,DCE_EG
DCE_FB,大商所纤维板,林木造纸,林木造纸,DCE_FB
DCE_FB_OLD,大商所纤维板（旧五百张合约）,林木造纸,林木造纸,DCE_FB
DCE_I,大商所铁矿石,黑色,黑色,DCE_I
DCE_J,大商所焦炭,黑色,黑色,DCE_J
DCE_JD,大商所鸡蛋,农产品,畜牧,DCE_JD
DCE_JM,大商所焦煤,黑色,黑色,DCE_JM
DCE_L,大商所线型低密度聚乙烯,化工,化工,DCE_L
DCE_LG,大商所原木,林木造纸,林木造纸,DCE_LG
DCE_LH,大商所生猪,农产品,畜牧,DCE_LH
DCE_M,大商所豆粕,农产品,油脂油料,DCE_M
DCE_P,大商所棕榈油,农产品,油脂油料,DCE_P
DCE_PG,大商所液化石油气,能源,能源,DCE_PG
DCE_PP,大商所聚丙烯,化工,化工,DCE_PP
DCE_RR,大商所粳米,农产品,谷物淀粉,DCE_RR
DCE_V,大商所聚氯乙烯,化工,化工,DCE_V
DCE_Y,大商所豆油,农产品,油脂油料,DCE_Y
GFEX_LC,广期所碳酸锂,有色,有色,GFEX_LC
GFEX_PD,广期所钯,贵金属,贵金属,GFEX_PD
GFEX_PS,广期所多晶硅,有色,有色,GFEX_PS
GFEX_PT,广期所铂,贵金属,贵金属,GFEX_PT
GFEX_SI,广期所工业硅,有色,有色,GFEX_SI
INE_BC,上海能源国际铜,有色,有色,INE_BC
INE_EC,上海能源集运指数（欧线）,航运,航运,INE_EC
INE_LU,上海能源低硫燃料油,能源,能源,INE_LU
INE_NR,上海能源二十号胶,化工,化工,INE_NR
INE_SC,上海能源原油,能源,能源,INE_SC
SHFE_AD,上期所铸造铝合金,有色,有色,SHFE_AD
SHFE_AG,上期所白银,贵金属,贵金属,SHFE_AG
SHFE_AL,上期所铝,有色,有色,SHFE_AL
SHFE_AO,上期所氧化铝,有色,有色,SHFE_AO
SHFE_AU,上期所黄金,贵金属,贵金属,SHFE_AU
SHFE_BR,上期所丁二烯橡胶,化工,化工,SHFE_BR
SHFE_BU,上期所石油沥青,能源,能源,SHFE_BU
SHFE_CU,上期所铜,有色,有色,SHFE_CU
SHFE_FU,上期所燃料油,能源,能源,SHFE_FU
SHFE_HC,上期所热轧卷板,黑色,黑色,SHFE_HC
SHFE_NI,上期所镍,有色,有色,SHFE_NI
SHFE_OP,上期所胶版印刷纸,林木造纸,林木造纸,SHFE_OP
SHFE_PB,上期所铅,有色,有色,SHFE_PB
SHFE_RB,上期所螺纹钢,黑色,黑色,SHFE_RB
SHFE_RU,上期所天然橡胶,化工,化工,SHFE_RU
SHFE_SN,上期所锡,有色,有色,SHFE_SN
SHFE_SP,上期所纸浆,林木造纸,林木造纸,SHFE_SP
SHFE_SS,上期所不锈钢,黑色,黑色,SHFE_SS
SHFE_WR,上期所线材,黑色,黑色,SHFE_WR
SHFE_ZN,上期所锌,有色,有色,SHFE_ZN
